date,publication_date,dosen_kumulativ,personen_erst_kumulativ,personen_voll_kumulativ,dosen_biontech_kumulativ,dosen_erst_biontech_kumulativ,dosen_voll_biontech_kumulativ,dosen_moderna_kumulativ,dosen_erst_moderna_kumulativ,dosen_voll_moderna_kumulativ,indikation_alter_dosen,indikation_alter_erst,indikation_alter_voll,indikation_beruf_dosen,indikation_beruf_erst,indikation_beruf_voll,indikation_medizinisch_dosen,indikation_medizinisch_erst,indikation_medizinisch_voll,indikation_pflegeheim_dosen,indikation_pflegeheim_erst,indikation_pflegeheim_voll,dosen_differenz_zum_vortag,impf_quote_dosen,impf_quote_erst,impf_quote_voll,impf_inzidenz_dosen,impf_inzidenz_erst,impf_inzidenz_voll
2020-12-27,2020-12-28 16:15,809,809,0,809,809,0,0,0,0,213,213,0,239,239,0,344,344,0,553,553,0,,0.027860304507273812,0.027860304507273812,0,0.27860304507273814,0.27860304507273814,0
2020-12-28,2020-12-29 08:00,2495,2495,0,2495,2495,0,0,0,0,588,588,0,528,528,0,584,584,0,1136,1136,0,1686,0.08592269437039328,0.08592269437039328,0,0.8592269437039328,0.8592269437039328,0
2020-12-30,2020-12-31 08:30,5581,5581,0,5581,5581,0,0,0,0,1385,1385,0,3361,3361,0,1175,1175,0,2241,2241,0,1747,0.1921982193511683,0.1921982193511683,0,1.921982193511683,1.921982193511683,0
2020-12-31,2021-01-01 12:30,7270,7270,0,7270,7270,0,0,0,0,1766,1766,0,4523,4523,0,1527,1527,0,2817,2817,0,1689,0.2503639230752542,0.2503639230752542,0,2.5036392307525417,2.5036392307525417,0
2021-01-01,2021-01-02 08:00,7964,7964,0,7964,7964,0,0,0,0,2130,2130,0,4690,4690,0,1798,1798,0,3384,3384,0,694,0.2742638629121491,0.2742638629121491,0,2.7426386291214913,2.7426386291214913,0
2021-01-02,2021-01-03 08:00,8933,8933,0,8933,8933,0,0,0,0,2525,2525,0,5136,5136,0,2077,2077,0,3987,3987,0,969,0.30763424000429784,0.30763424000429784,0,3.0763424000429787,3.0763424000429787,0
2021-01-03,2021-01-04 12:00,9557,9557,0,9557,9557,0,0,0,0,2801,2801,0,5317,5317,0,2325,2325,0,4512,4512,0,624,0.32912352308531007,0.32912352308531007,0,3.2912352308531005,3.2912352308531005,0
2021-01-04,2021-01-05 12:00,12978,12978,0,12978,12978,0,0,0,0,3427,3427,0,6611,6611,0,2716,2716,0,5616,5616,0,3421,0.4469357625406669,0.4469357625406669,0,4.469357625406669,4.469357625406669,0
2021-01-05,2021-01-06 11:00,17016,17016,0,17016,17016,0,0,0,0,4092,4092,0,8459,8459,0,2932,2932,0,6665,6665,0,3444,0.5859962194014477,0.5859962194014477,0,5.859962194014477,5.859962194014477,0
2021-01-06,2021-01-07 11:00,20078,20078,0,20078,20078,0,0,0,0,4842,4842,0,9282,9282,0,3234,3234,0,7768,7768,0,3062,0.6914452334944915,0.6914452334944915,0,6.914452334944915,6.914452334944914,0
