date,publication_date,BW,BY,BE,BB,HB,HH,HE,MV,NI,NW,RP,SL,SN,ST,SH,TH,DE
2020-12-27,2020-12-28 16:15,,,,,,,,,,,,,,1357,,,1357
2020-12-28,2020-12-29 08:00,2560,1830,2213,75,174,626,1242,3488,501,518,210,647,675,2481,1686,158,19084
2020-12-30,2020-12-31 08:30,4407,15104,2788,1483,601,541,6226,3640,1178,7359,1673,601,1166,2813,1747,138,51465
2020-12-31,2021-01-01 12:30,4295,9749,2030,183,50,719,5699,393,861,3033,865,597,637,1046,1689,0,31846
2021-01-01,2021-01-02 08:00,2958,1050,2023,,,283,3418,,379,7908,439,600,710,625,694,,21087
2021-01-02,2021-01-03 08:00,4014,11742,1443,,96,662,5294,,1017,13142,59,833,343,1051,969,,40665
2021-01-03,2021-01-04 12:00,3390,8425,935,,66,436,3320,,432,3539,658,,523,544,624,,22892
2021-01-04,2021-01-05 12:00,4758,11618,1631,25,700,616,4390,1773,3271,4435,1609,687,2874,2262,3421,493,44563
2021-01-05,2021-01-06 11:00,5621,4873,2566,2070,518,1145,3503,2570,6499,4160,2445,797,3027,1495,3444,500,45233
2021-01-06,2021-01-07 11:00,4971,1600,2204,2778,630,1178,2824,2359,7444,8851,3648,878,2239,501,3062,1165,46332
2021-01-07,2021-01-08 11:00,6180,4567,2247,3299,621,1392,1884,1792,7975,5986,4991,837,2587,1775,3831,974,50938
2021-01-08,2021-01-09 11:00,6213,5050,2465,2414,720,1417,2647,779,7803,6574,4376,874,2398,1400,3936,1000,50066
2021-01-10,2021-01-11 11:00,4369,12109,1026,0,491,1336,2120,0,513,3676,1866,0,715,0,0,0,28221
2021-01-11,2021-01-12 11:00,5286,15850,1784,1028,682,1578,3114,1553,7607,3783,5947,973,3945,2499,3987,1242,60858
2021-01-12,2021-01-13 11:00,5869,14525,2095,4499,753,1707,2869,2059,7749,3994,8012,1069,5720,2907,4611,740,69178
2021-01-13,2021-01-14 11:00,5538,17404,2515,7512,1137,2129,1827,2284,6679,9594,8109,1046,5167,2128,4303,744,78116
